Position (m),Strain (Load = 100.0 N),Strain (Load = 235.71428571428572 N),Strain (Load = 371.42857142857144 N),Strain (Load = 507.14285714285717 N),Strain (Load = 642.8571428571429 N),Strain (Load = 778.5714285714287 N),Strain (Load = 914.2857142857143 N),Strain (Load = 1050.0 N),Strain (Load = 1185.7142857142858 N),Strain (Load = 1321.4285714285716 N),Strain (Load = 1457.1428571428573 N),Strain (Load = 1592.857142857143 N),Strain (Load = 1728.5714285714287 N),Strain (Load = 1864.2857142857144 N),Strain (Load = 2000.0 N)
0.0,6.904761904761291e-05,0.00016275510204079416,0.0002564625850340068,0.00035017006802710057,0.00044387755102034667,0.0005375850340134483,0.0006312925170067137,0.0007249999999999169,0.0008187074829931505,0.0009124149659864414,0.0010061224489796424,0.0010998299319726463,0.0011935374149658195,0.0012872448979586932,0.0013809523809522179
0.01,0.00019761904761902922,0.00046581632653054856,0.0007340136054421193,0.0010022108843535228,0.0012704081632651358,0.0015386054421765358,0.0018068027210881652,0.002074999999999714,0.002343197278911367,0.002611394557823113,0.0028795918367346502,0.0031477891156459054,0.003415986394557386,0.003684183673468559,0.003952380952380421
0.02,0.00031190476190472876,0.0007352040816325517,0.001158503401360401,0.0015818027210882093,0.002005102040816058,0.0024284013605438324,0.0028517006802716645,0.003274999999999482,0.0036982993197274797,0.004121598639455499,0.0045448979591833204,0.004968197278911039,0.005391496598638792,0.005814795918366733,0.006238095238094311
0.03,0.0004119047619047093,0.0009709183673468059,0.0015299319727888993,0.002088945578231036,0.0026479591836731094,0.003206972789115208,0.003765986394557249,0.004324999999999336,0.004884013605441563,0.005443027210883712,0.006002040816325842,0.006561054421767926,0.007120068027209954,0.007679081632652419,0.008238095238094009
0.04,0.0004976190476189738,0.0011729591836733063,0.0018482993197276195,0.0025236394557820035,0.0031989795918362855,0.003874319727890669,0.004549659863944928,0.005224999999999288,0.005900340136053616,0.006575680272107796,0.007251020408162149,0.007926360544216596,0.008601700680270887,0.009277040816325622,0.009952380952379486
0.05,0.0005690476190475155,0.001341326530612039,0.0021136054421765217,0.002885884353741094,0.0036581632653055304,0.004430442176870178,0.005202721088434621,0.005974999999999205,0.006747278911563488,0.007519557823127684,0.008291836734692143,0.009064115646256905,0.00983639455782153,0.010608673469386192,0.011380952380950621
0.06,0.0006261904761903862,0.001476020408163078,0.0023258503401357303,0.003175680272108471,0.00402551020408111,0.004875340136053881,0.005725170068026551,0.006574999999999192,0.007424829931971689,0.008274659863944208,0.009124489795916842,0.009974319727889721,0.010824149659862514,0.01167397959183504,0.012523809523808061
0.07,0.000669047619047566,0.0015770408163263976,0.0024850340136052212,0.00339302721088408,0.004301020408162924,0.005209013605441751,0.006117006802720608,0.00702499999999936,0.00793299319727816,0.008840986394557042,0.009748979591835892,0.010656972789114752,0.011564965986393595,0.01247295918367226,0.01338095238095137
0.08,0.0006976190476189991,0.0016443877551019215,0.0025911564625848453,0.00353792517006777,0.004484693877550701,0.0054314625850336255,0.0063782312925165455,0.007324999999999476,0.008271768707482368,0.009218537414965314,0.010165306122448257,0.011112074829931155,0.012058843537414096,0.013005612244896983,0.013952380952379936
0.09,0.0007119047619047138,0.0016780612244896827,0.002644217687074651,0.0036103741496596223,0.004576530612244588,0.005542687074829559,0.006508843537414525,0.007474999999999501,0.008441156462584472,0.009407312925169439,0.010373469387754403,0.011339625850339369,0.012305782312924346,0.013271938775509322,0.014238095238094278
