Timestamp,ID,Strain,Temp
1728929128.9269316,2,516,27.27
1728929128.9872522,3,524,25.85
1728929128.9882562,1,488,26.14
1728929129.0181494,4,472,26.36
1728929129.9282072,2,520,27.27
1728929129.9506385,3,526,25.91
1728929130.1785188,4,473,26.36
1728929130.5351017,1,489,26.08
1728929130.9369256,2,520,27.27
1728929131.2615662,3,531,25.91
1728929131.6177838,4,475,26.36
1728929131.9881613,1,488,26.08
1728929132.3584287,2,519,27.27
1728929132.7434337,3,529,25.91
1728929133,4,477,26.36
1728929133.4719477,1,489,26.14
1728929133.8318267,2,520,27.27
1728929134.2009127,3,526,25.91
1728929134.5853794,4,477,26.36
1728929134.9577148,1,489,26.14
1728929135.3330302,2,520,27.27
1728929135.7679574,3,531,25.88
1728929136.1486442,4,477,26.36
1728929136.5840812,1,489,26.05
1728929136.9364107,2,519,27.27
1728929137.297924,3,529,25.88
1728929137.6512215,4,530,26.36
1728929138.0233715,1,492,26.11
1728929138.4041455,2,519,27.27
1728929138.7486236,3,528,25.91
1728929139.1309724,4,518,26.36
1728929139.5931005,1,488,26.14
1728929139.9907901,2,519,27.27
1728929140.3782465,3,531,25.91
1728929140.7771008,4,520,26.36
1728929141.130806,1,493,26.11
1728929141.5012572,3,529,25.91
1728929141.8867545,2,519,27.3
1728929142.2843406,4,515,26.36
1728929142.6391594,1,488,26.22
1728929143.0238726,3,527,25.91
1728929143.3933523,2,519,27.3
1728929143.8284485,4,508,26.36
1728929144.2124474,1,487,26.14
1728929144.5964735,3,529,25.91
1728929144.9840305,2,519,27.33
1728929145.352579,4,508,26.36
1728929145.7405498,1,493,26.11
1728929146.1104026,3,522,25.91
1728929146.483188,2,519,27.41
1728929146.8709865,4,503,26.36
1728929147.2585201,1,490,26.19
1728929147.6290052,3,528,25.91
1728929148.0031285,2,519,27.64
1728929148.3802397,4,500,26.36
1728929148.7351594,1,484,26.28
1728929149.0962043,3,525,25.88
1728929149.4538682,2,520,27.73
1728929149.8115723,1,492,26.31
1728929150.185147,4,500,26.36
1728929150.5517867,3,528,25.91
1728929150.9854772,2,521,27.73
1728929151,1,488,26.34
1728929151.7276173,4,499,26.36
1728929152,3,528,25.91
1728929152.4958162,2,519,27.73
1728929152.9367628,1,485,26.36
1728929153.3302143,4,499,26.36
1728929153.6991854,3,531,25.91
1728929154.0871785,2,520,27.73
1728929154.4726832,1,487,26.28
1728929154.8570104,4,503,26.42
1728929155.3145144,3,529,25.94
1728929155.7567735,2,518,27.81
1728929156.157384,1,486,26.34
1728929156.5439606,4,557,26.7
1728929156.9290583,2,519,28.1
1728929157.3014317,3,527,25.91
1728929157.6613302,1,483,26.39
1728929158.020225,4,560,26.65
1728929158.4576564,2,519,28.15
1728929158.8630567,3,526,25.91
1728929159.2697747,1,483,26.36
1728929159.8673155,4,534,26.82
1728929160.3349264,2,520,28.18
1728929160.7820125,1,484,26.45
1728929161.1873946,3,524,25.91
1728929162,4,493,26.79
1728929162.0021503,2,520,28.18
1728929162.3969395,1,481,26.45
1728929162.7757633,3,528,25.91
1728929163.1503754,4,496,26.82
1728929164,2,520,28.55
1728929163.883745,1,486,26.51
1728929164.244712,3,527,25.91
1728929164.634951,4,500,26.82
1728929165.0145257,2,518,28.64
1728929165.338734,1,484,26.48
1728929165.6861792,3,521,25.91
1728929166.0947142,4,494,26.82
1728929166.4564948,2,519,28.64
1728929166.8304436,1,481,26.45
1728929167.1859136,3,526,25.91
1728929167.543907,4,495,26.82
1728929167.9382246,2,519,28.86
1728929168.2877066,1,480,26.53
1728929168.6611378,3,525,25.94
1728929169.0354984,4,482,26.82
1728929169.407147,2,520,29.09
1728929169.7496617,1,485,26.56
1728929170.106353,3,519,25.91
1728929170.451823,4,465,26.82
1728929171,2,520,29.09
1728929171.1864076,1,481,26.48
1728929172,3,523,25.91
1728929171.921944,4,486,26.82
1728929172.349341,2,519,29.35
1728929172.7233882,1,481,26.59
1728929173.1290092,3,524,25.91
1728929173.5031202,4,486,26.85
1728929173.8947737,2,519,29.55
1728929174.257978,1,484,26.65
1728929174.6306624,3,525,26.05
1728929175.005181,4,486,26.99
1728929175.3681786,2,520,29.57
1728929175.7572234,1,476,26.65
1728929176.164562,3,522,25.99
1728929176.5097697,4,479,27.13
1728929176.8849204,2,520,30
1728929177.2424455,1,475,26.68
1728929177.586038,3,519,25.99
1728929177.9457848,4,474,27.24
1728929178.3046138,2,519,30
1728929178.6968234,1,481,26.73
1728929179.0584812,3,518,25.97
1728929179.4068682,4,466,27.27
1728929179.791393,2,519,30.36
1728929180.2151208,1,479,26.82
1728929180.588041,3,521,26.08
1728929180.9624298,4,461,27.27
1728929181.3394425,2,519,30.42
1728929181.6991613,1,481,26.82
1728929182.0579119,3,520,26.02
1728929182.423615,4,454,27.27
1728929182.8711476,2,519,30.73
1728929183.261644,3,522,26.08
1728929183.624064,1,475,27.02
1728929183.9855158,4,456,27.27
1728929184.3435125,2,519,30.83
1728929184.7213101,3,518,26.05
1728929185.0836167,1,476,26.96
1728929185.4272134,4,451,27.3
1728929185.7885642,2,520,30.86
1728929186.1522903,3,518,26.25
1728929186.4931777,1,481,26.9
1728929186.8343086,4,456,27.36
1728929187.257584,2,520,31.12
1728929188,3,517,26.16
1728929187.989213,1,474,26.99
1728929188.3628047,4,452,27.56
1728929188.7376165,2,520,31.25
1728929189.0946453,3,522,26.19
1728929189.4390767,4,452,27.73
1728929189.8145592,1,473,26.96
1728929190.188482,2,519,31.35
1728929190.5475852,3,517,26.25
1728929190.9064484,4,454,27.73
1728929191.2562988,1,478,27.13
1728929191.6005738,2,519,31.67
1728929191.9435213,3,518,26.28
1728929192.3162117,4,453,27.73
1728929192.6891828,1,475,27.22
1728929193.0495632,3,519,26.36
1728929193.4054735,2,519,31.67
1728929193.7812452,4,454,27.76
1728929194.1689456,1,475,27.27
1728929194.5186975,3,513,26.34
1728929194.8960757,2,519,31.9
1728929195.2429264,4,453,27.76
1728929195.6173398,1,471,27.3
1728929195.963792,3,514,26.36
1728929196.3211205,2,519,32.08
1728929196.693317,4,455,27.93
1728929197.0418577,3,515,26.36
1728929197.3875842,1,472,27.36
1728929197.7301579,2,519,32.11
1728929198,4,453,28.1
1728929198.4507706,3,515,26.36
1728929198.807388,1,473,27.39
1728929199.1672177,2,519,32.42
1728929199.5833905,4,451,28.18
1728929199.9593637,3,513,26.36
1728929200.3207545,2,519,32.5
1728929200.6971972,1,470,27.5
1728929201.1174471,4,451,28.18
1728929201.4720733,3,517,26.39
1728929201.8340166,2,518,32.55
1728929202.1900904,1,470,27.53
1728929202.5669236,4,478,28.18
1728929202.9260004,3,516,26.36
1728929203.2837796,2,520,32.92
1728929203.6589103,1,473,27.61
1728929204.0487595,4,519,28.21
1728929204.4038608,3,513,26.36
1728929204.8095357,2,519,32.92
1728929205.1740842,1,466,27.73
1728929205.511593,4,515,28.3
1728929205.8537617,3,516,26.42
1728929206.2161078,2,521,33.33
1728929206.6048217,1,467,27.67
1728929206.9955716,4,514,28.58
1728929207.3750496,3,512,26.48
1728929207.772081,2,520,33.33
1728929208.1949103,1,466,27.73
1728929208.5717885,4,515,28.61
1728929208.9480846,3,514,26.48
1728929209.3251474,2,520,33.72
1728929209.687945,1,465,27.84
1728929210.065579,4,512,28.64
1728929210.423429,3,513,26.48
1728929210.813909,2,519,33.75
1728929211.191704,1,466,27.9
1728929211.5650911,4,505,28.64
1728929212.0028114,3,510,26.68
1728929212.363363,2,519,34.17
1728929212.7396476,1,466,27.95
1728929213.0997348,4,510,28.72
1728929213.489062,3,508,26.68
1728929213.8486485,2,520,34.17
1728929214.2061567,1,461,28.13
1728929214.5698314,4,511,29.06
1728929214.9462454,3,509,26.68
1728929215.3536332,2,520,34.58
1728929215.7280788,1,461,28.1
1728929216.0867383,4,510,29.09
1728929216.446094,3,509,26.76
1728929216.8327153,2,520,34.69
1728929217.189279,1,465,28.35
1728929217.550678,4,508,29.09
1728929217.9252083,3,511,26.82
1728929218.2840433,2,520,35
1728929219,1,461,28.18
1728929219.0397146,4,508,29.18
1728929219.3872433,3,506,26.82
1728929219.7654803,2,519,35.33
1728929220.1565611,1,465,28.41
1728929220.5528076,4,509,29.52
1728929220.9327464,3,509,26.85
1728929221.2779968,2,520,35.33
1728929221.6720178,1,462,28.52
1728929222.0340655,4,508,29.55
1728929222.4264834,3,507,26.82
1728929222.8044717,2,521,35.67
1728929223.1649582,1,457,28.75
1728929223.520587,4,503,29.55
1728929223.8831735,3,511,26.82
1728929224.2403998,2,521,35.88
1728929224.6187801,1,461,28.78
1728929224.999327,4,504,29.74
1728929225.3574958,3,506,26.88
1728929225.717615,2,520,36
1728929226.0897186,1,458,28.81
1728929226.4538612,4,503,30
1728929227,3,506,27.02
1728929227.1885812,2,520,36.33
1728929227.5662038,1,456,28.95
1728929228,4,504,30
1728929228.3049228,3,508,27.05
1728929228.7161043,2,519,36.5
1728929229.0882974,1,455,29.01
1728929229.523648,4,503,30
1728929229.9149108,3,503,27.13
1728929230.2560644,2,519,36.69
1728929230.6302245,1,453,29.2
1728929231.0049798,4,504,30.36
1728929231.3811357,3,504,27.27
1728929231.7731633,2,519,37
1728929232.1642208,1,458,29.23
1728929232.534701,4,501,30.42
1728929232.9259362,3,506,27.27
1728929233.2851305,2,519,37.06
1728929233.6448512,1,452,29.35
1728929234.0251179,4,499,30.42
1728929234.3985434,2,519,37.33
1728929234.741261,3,504,27.27
1728929235.1000137,1,452,29.55
1728929235.4925404,4,497,30.76
1728929235.8537621,2,519,37.65
1728929236.229676,3,503,27.27
1728929236.6649868,1,455,29.77
1728929237.040683,4,497,30.83
1728929237.4007666,2,519,37.67
1728929237.7490044,3,505,27.3
1728929238.1258285,1,451,29.77
1728929238.4684258,4,495,30.83
1728929238.8399134,2,518,38
1728929239.2140107,3,503,27.3
1728929239.590556,1,449,29.83
1728929239.9637325,4,493,30.83
1728929240.3210862,2,520,38.06
1728929240.6927419,3,501,27.53
1728929241.0505629,1,449,29.97
1728929241.409181,4,488,31.22
1728929241.772109,2,520,38.33
1728929242.1334355,3,503,27.39
1728929242.4798057,1,448,30.1
1728929242.8366225,4,488,31.25
1728929243.2108667,2,521,38.65
1728929243.6335537,3,502,27.59
1728929243.9969647,1,446,30.16
1728929244.3690684,4,492,31.25
1728929244.7491915,2,520,38.67
1728929245,3,505,27.67
1728929245.4410708,1,447,30.18
1728929245.8191812,4,487,31.38
1728929246.1799743,2,520,38.96
1728929246.5560672,3,499,27.7
1728929246.9197724,1,446,30.34
1728929247.2763913,4,489,31.67
1728929247.6543446,2,519,39
1728929248.0176237,3,502,27.73
1728929248.393943,1,450,30.55
1728929248.7537553,4,483,31.67
1728929249.114915,2,519,39.31
1728929249.493035,3,502,27.73
1728929249.8333294,1,449,30.6
1728929250.2063384,4,487,31.67
1728929250.642427,2,519,39.33
1728929251.0191739,3,501,27.73
1728929251.393489,4,487,31.77
1728929251.7540994,1,440,30.63
1728929252.1192508,2,520,39.67
1728929252.5081964,3,496,27.78
1728929252.8681288,4,482,32.08
1728929253.2299783,1,445,30.68
1728929254,2,519,39.69
1728929253.9421883,3,495,27.81
1728929254.3053896,4,486,32.08
1728929254.6688335,1,446,30.83
1728929255.0320642,2,519,39.98
1728929255.3742845,3,499,27.9
1728929255.7657616,4,489,32.11
1728929256.108213,1,447,31.04
1728929256.5015411,2,520,40
1728929256.843582,3,497,27.95
1728929257.1883767,4,490,32.14
1728929257.6129842,1,441,30.94
1728929258.025516,2,520,40.18
1728929258.4334936,3,494,28.01
1728929258.7806559,4,490,32.45
1728929259.1340077,1,440,31.04
1728929259.4946623,2,519,40.29
1728929259.8548996,3,495,28.13
1728929260.2179718,4,487,32.5
1728929260.605852,2,521,40.53
1728929260.9468331,1,441,31.2
1728929261.3085256,3,492,28.18
1728929261.6555393,4,488,32.5
1728929262.078917,2,519,40.59
1728929262.4861114,1,442,31.25
1728929262.850104,3,496,28.18
1728929263.2086346,4,480,32.5
1728929263.5852406,2,519,40.63
1728929263.943432,1,441,31.35
1728929264.2853618,3,496,28.18
1728929264.7217464,4,482,32.73
1728929265.0830202,2,519,40.88
1728929265.4366567,3,494,28.24
1728929265.7856688,1,440,31.43
1728929266.165882,4,480,32.92
1728929266.5100405,2,519,40.88
1728929266.857958,3,492,28.21
1728929267.2170465,1,440,31.38
1728929267.5893502,4,481,32.92
1728929267.9536679,2,519,41.16
1728929268.299086,3,491,28.3
1728929268.6896799,1,440,31.67
1728929269.0674117,4,478,32.92
1728929269.411435,2,519,41.18
1728929269.769178,3,488,28.47
1728929270.1263194,1,439,31.67
1728929270.4886875,2,519,41.29
1728929270.9212499,4,474,32.94
1728929271.3044746,3,491,28.55
1728929271.7570999,1,439,31.85
1728929272.1163397,2,520,41.47
1728929272.5031462,4,462,33.26
1728929272.8740232,3,493,28.58
1728929273.2336502,1,437,31.72
1728929273.5932987,2,519,41.47
1728929273.9353018,4,444,33.33
1728929274.2932684,3,488,28.64
1728929274.656123,1,434,31.9
1728929275.0112073,2,520,41.62
1728929275.3700757,4,430,33.33
1728929275.7608933,3,483,28.64
1728929276.136046,1,434,32.03
1728929276.4993029,2,519,41.76
1728929276.8569586,4,430,33.33
1728929277.2292337,3,479,28.66
1728929277.5851424,1,431,32.08
1728929278,2,520,41.76
1728929278.3195145,4,420,33.39
1728929278.7127347,3,475,28.89
1728929279.0892806,1,430,32.24
1728929279.5438354,2,520,41.76
1728929279.9044552,4,418,33.59
1728929280.2604613,3,478,29.09
1728929280.636403,2,520,41.88
1728929280.982486,1,426,32.21
1728929281.354935,4,416,33.75
1728929281.7014003,3,476,29.23
1728929282.0780568,2,519,41.99
1728929282.4382262,1,426,32.29
1728929282.800666,4,415,33.75
1728929283.1606858,3,474,29.55
1728929283.5019221,2,520,42.06
1728929283.882087,1,424,32.4
1728929284.2528296,4,416,33.75
1728929284.635727,3,475,29.94
1728929285.0208075,2,519,42.06
1728929285.3807194,1,428,32.58
1728929285.8039052,4,411,33.78
1728929286.1641924,3,476,30.21
1728929286.5722036,2,519,42.06
1728929287.0418088,1,427,32.63
1728929287.4629383,4,414,34.01
1728929287.9002485,3,474,30.44
1728929288.3085876,2,519,42.06
1728929288.7174044,1,422,32.6
1728929289.1356347,4,411,34.14
1728929289.527162,3,469,30.83
1728929289.962607,2,519,42.06
1728929290.3586595,1,417,32.81
1728929290.7346764,4,407,34.17
1728929291.1470313,3,467,31.2
1728929292,2,519,42.06
1728929291.9285228,1,421,32.92
1728929292.3023407,4,408,34.17
1728929292.6802888,3,467,31.41
1728929293.0367417,2,519,42.06
1728929293.486354,1,417,32.99
1728929294,4,406,34.22
1728929294.2079983,3,469,31.72
1728929294.616896,2,520,42.06
1728929294.989682,1,419,33.07
1728929295.3529065,4,406,34.45
1728929295.7270453,3,470,32.08
1728929296.1156495,2,521,42.06
1728929296.4799426,1,421,33.23
1728929296.8722105,4,403,34.58
1728929297.2190495,3,467,32.5
1728929297.5979881,2,521,42.06
1728929297.9569006,1,418,33.33
1728929298.315475,4,403,34.58
1728929298.6917472,3,473,32.81
1728929299.0694556,2,519,42.06
1728929299.4446924,1,425,33.44
1728929299.8085487,4,400,34.61
1728929300.185453,3,469,33.07
1728929300.6355264,2,519,42.06
1728929300.9823666,1,422,33.52
1728929301.3418376,4,398,34.77
1728929301.7191658,3,468,33.36
1728929302.0677092,2,519,42.06
1728929302.4260569,1,426,33.67
1728929302.7840831,4,400,35
1728929303.1688588,3,468,33.75
1728929303.5286987,2,519,42.06
1728929303.9169154,1,425,33.85
1728929304.280952,4,395,35
1728929304.6549952,3,466,34.17
1728929305.030734,2,519,42.06
1728929305.3922358,1,428,33.85
1728929305.7710254,4,383,35
1728929306.1473398,3,463,34.56
1728929306.5074751,2,519,42.06
1728929306.8843806,1,427,33.96
1728929307.2557704,4,382,35.15
1728929307.6977952,3,462,34.97
1728929308.0576649,2,519,42.06
1728929308.448665,1,424,34.17
1728929308.8270838,4,382,35.33
1728929309.1742356,3,459,35.27
1728929309.5494497,2,520,42.04
1728929309.9252288,1,424,34.17
1728929310.2688372,4,379,35.33
1728929310.6284308,3,455,35.6
1728929311.0045526,2,519,42.06
1728929311.3920107,1,423,34.35
1728929311.7516818,3,453,35.92
1728929312.1160297,4,380,35.33
1728929312.5063546,2,520,42.06
1728929312.8764188,1,427,34.51
1728929313.2388048,3,455,36.33
1728929313.5968397,4,376,35.48
1728929313.9728167,2,520,42.06
1728929314.3173287,1,426,34.64
1728929314.7520444,4,378,35.67
1728929315.1324198,3,453,36.67
1728929315.5064065,2,520,42.04
1728929315.8701773,1,427,34.77
1728929316.2501917,4,381,35.67
1728929316.6289158,3,449,37.08
1728929316.9852464,2,520,42.06
1728929317.328562,1,427,34.97
1728929317.7196155,4,373,35.67
1728929318.0947974,3,449,37.54
1728929318.454774,2,519,42.06
1728929318.8147411,1,433,35.1
1728929319.189314,4,373,35.98
1728929319.5811622,3,449,38
1728929320.0081866,2,519,42.04
1728929320.4332829,1,432,35.13
1728929320.808854,4,368,36
1728929321.1888123,3,449,38.35
1728929321.5354173,2,519,42.06
1728929321.9745786,1,434,35.38
1728929322.3491032,4,369,36
1728929322.7413743,3,447,38.81
1728929323.120392,2,520,42.04
1728929323.481043,1,438,35.46
1728929323.853319,4,368,36.27
1728929324.2125933,3,449,39.31
1728929324.5865636,2,519,42.04
1728929324.974993,1,442,35.67
1728929325.3180122,4,372,36.33
1728929325.6943538,3,447,39.67
1728929326.041708,2,520,42.06
1728929326.4025934,1,440,35.77
1728929326.779535,4,370,36.33
1728929327.1401436,3,452,40.11
1728929327.515734,2,520,42.06
1728929327.8909404,1,443,35.94
1728929328.2516985,4,371,36.67
1728929328.6284378,3,447,40.48
1728929329.067119,2,519,42.06
1728929329.4077644,1,436,36.08
1728929329.8189983,4,363,36.67
1728929330.195216,3,445,40.79
1728929330.5381794,2,520,42.02
1728929330.9148817,1,439,36.21
1728929331.2879198,4,368,36.75
1728929331.6678813,3,448,40.99
1728929332.0288079,2,521,42.06
1728929332.388302,1,438,36.4
1728929332.7782106,4,366,37
1728929333.1539428,3,448,41.18
1728929333,2,520,42.06
1728929333.868743,1,438,36.52
1728929334.2167997,4,489,37
1728929334.5940099,3,446,41.47
1728929334.9647586,2,519,42.06
1728929335.3209548,1,437,36.75
1728929335.7145226,4,493,37.04
1728929336.1357522,3,443,41.56
1728929336.5090454,2,519,42.06
1728929336.9008245,1,438,36.81
1728929337.262313,4,425,37.31
1728929337.622475,3,444,41.76
1728929338.0118344,2,520,42.06
1728929338.351505,1,434,36.98
1728929338.741336,4,371,37.33
1728929339.0989845,3,441,41.76
1728929339.4647603,2,519,42.06
1728929339.847635,1,433,37.08
1728929340.2236414,4,374,37.33
1728929340.5864813,3,438,41.82
1728929340.9755194,2,519,42.06
1728929341.346608,1,437,37.17
1728929341.6882665,4,377,37.52
1728929342.0479722,3,439,41.93
1728929342.439536,2,519,42.06
1728929342.797826,1,439,37.4
1728929343.223948,4,376,37.63
1728929343.5857525,3,437,41.97
1728929343.960293,1,441,37.44
1728929344.318859,2,520,42.06
1728929344.6810896,4,377,37.67
1728929345.0582914,3,438,41.99
1728929345.421345,1,440,37.52
1728929345.7853873,2,519,42.06
1728929346.131726,4,382,37.67
1728929346.4922526,3,436,42.02
1728929346.852559,1,440,37.56
1728929347.2471695,2,519,42.06
1728929347.6109543,4,685,37.67
1728929348,3,433,41.97
1728929348.3834825,1,444,37.67
1728929348.8045428,2,519,42.06
1728929349.1645012,4,689,37.67
1728929349.509836,3,432,41.97
1728929349.8822153,1,445,37.69
1728929350.3199782,2,520,42.06
1728929350.681749,4,688,37.6
1728929351.0425503,3,435,41.89
1728929351.4007204,1,446,37.69
1728929351.7851024,2,521,42.06
1728929352.160075,4,689,37.52
1728929352.5184412,3,431,41.89
1728929352.9050846,1,444,37.71
1728929353.2803752,2,519,42.06
1728929353.6369927,4,680,37.35
1728929353.979735,3,434,41.82
1728929354.3384633,1,445,37.71
1728929354.7107854,2,520,42.06
1728929355.096873,4,692,37.35
1728929355.4558477,3,433,41.76
1728929355.8178372,1,442,37.73
1728929356.2203956,2,520,42.06
1728929356.5874045,4,698,37.33
1728929356.9866183,3,433,41.76
1728929357.3933332,1,444,37.69
1728929357.7542872,2,519,42.06
1728929358.1387858,4,695,37.33
1728929358.4970667,3,429,41.73
1728929358.8585515,1,446,37.67
1728929359.2316992,2,519,42.04
1728929359.6028843,4,695,37.33
1728929359.9642854,3,432,41.64
1728929360.3393118,1,447,37.69
1728929360.7338345,2,519,42.02
